公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收,年月,上市別,年,月
4722,國精化,本月及本年增減百分比達50%以上:主要來自農曆春節假期月份差異及大陸營收增加所致.,1.23,413563,67.81,249488,418667,67.81,249488,418667,110/01,TSE,110,1
4739,康普,-,14.92,478022,4.78,524279,549362,4.78,524279,549362,110/01,TSE,110,1
4755,三福化,-,2.21,319088,13.6,287088,326140,13.6,287088,326140,110/01,TSE,110,1
4764,雙鍵,本期因市場回溫及客戶備貨需求提升，故營收較去年同期成長。,0.79,308985,57.26,198045,311456,57.26,198045,311456,110/01,TSE,110,1
4766,南寶,-,7.9,1515022,40.12,1166696,1634821,40.12,1166696,1634821,110/01,TSE,110,1
4770,上品,較去年同期增加，主係本期對銷貨客戶之設備出貨增加所致,-11.07,274669,135.01,103930,244251,135.01,103930,244251,110/01,TSE,110,1
1598,岱宇,各品牌產品與電商通路銷售持續暢旺,-33.01,2005978,209.29,434445,1343735,209.29,434445,1343735,110/01,TSE,110,1
1701,中化,-,17.26,736343,17.11,737281,863490,17.11,737281,863490,110/01,TSE,110,1
1707,葡萄王,-,-43.22,1046553,3.38,574728,594187,3.38,574728,594187,110/01,TSE,110,1
1720,生達,-,-4.73,412784,24.88,314869,393236,24.88,314869,393236,110/01,TSE,110,1
1731,美吾華,新產品推出~電商和實體通路需求強勁，業績較去年同期成長17.45%。,38.72,91277,17.45,107813,126627,17.45,107813,126627,110/01,TSE,110,1
1733,五鼎,-,27.13,150304,32.33,144401,191093,32.33,144401,191093,110/01,TSE,110,1
1734,杏輝,-,26.91,174029,36.47,161834,220867,36.47,161834,220867,110/01,TSE,110,1
1736,喬山,"居家健身風潮興起, 家用健身器材銷售大幅成長",-36.61,3936987,54.58,1614326,2495565,54.58,1614326,2495565,110/01,TSE,110,1
1752,南光,-,-18.99,176887,10.67,129465,143279,10.67,129465,143279,110/01,TSE,110,1
1760,寶齡富錦,-,-45.11,172114,18.07,80004,94467,18.07,80004,94467,110/01,TSE,110,1
1762,中化生,-,12.52,146960,21.19,136448,165372,21.19,136448,165372,110/01,TSE,110,1
1783,和康生,-,-61.75,63858,3.59,23576,24423,3.59,23576,24423,110/01,TSE,110,1
1786,科妍,-,-38.91,50453,-22.96,40009,30819,-22.96,40009,30819,110/01,TSE,110,1
1789,神隆,-,-37.22,322402,27.4,158856,202389,27.4,158856,202389,110/01,TSE,110,1
1795,美時,因去年第二季起新增東南亞市場業務、且旗下外銷戒癮含片之美國終端市場份額較去年同期大幅增加,19.47,1011132,62.05,745428,1208009,62.05,745428,1208009,110/01,TSE,110,1
3164,景岳,本月營收增加係國外客戶年假前提前備貨，出貨增加。,38.38,26445,69.0,21655,36597,69.0,21655,36597,110/01,TSE,110,1
3705,永信,-,-12.19,836655,4.79,700996,734637,4.79,700996,734637,110/01,TSE,110,1
4104,佳醫,-,1.82,542971,-0.83,557524,552882,-0.83,557524,552882,110/01,TSE,110,1
4106,雃博,-,-10.33,200738,42.25,126523,179988,42.25,126523,179988,110/01,TSE,110,1
4108,懷特,「癌因性疲憊症CRF」的處方新藥需求增強，故本月業績較去年同期成長。,-52.05,15838,125.2,3372,7594,125.2,3372,7594,110/01,TSE,110,1
4119,旭富,因火災影響產線，目前產能為0,61.87,78498,-58.11,303367,127066,-58.11,303367,127066,110/01,TSE,110,1
4133,亞諾法,-,28.55,34254,31.06,33596,44034,31.06,33596,44034,110/01,TSE,110,1
4142,國光生,營收減少主因為國內四價流感疫苗提前於109年第四季出貨完畢所致。,-99.35,127434,-99.77,357241,821,-99.77,357241,821,110/01,TSE,110,1
4155,訊映,-,-19.79,126795,-31.1,147616,101700,-31.1,147616,101700,110/01,TSE,110,1
4164,承業醫,-,-18.04,226715,47.94,125594,185814,47.94,125594,185814,110/01,TSE,110,1
4737,華廣,110年1月營收較去年同期增加130.28%，主係因主要客戶受疫情影響，原應去年12月下單出貨 ，延後至今年1月所致。,-27.39,290319,130.27,91540,210797,130.27,91540,210797,110/01,TSE,110,1
4746,台耀,-,-28.2,333189,33.56,179111,239225,33.56,179111,239225,110/01,TSE,110,1
6491,晶碩,因代工訂單增加，故業績提升,-10.06,458286,65.22,249453,412169,65.22,249453,412169,110/01,TSE,110,1
6796,晉弘,-,-49.15,59112,15.56,26006,30054,15.56,26006,30054,110/01,TSE,110,1
1802,台玻,本年當月比去年同期增加50%以上係因去年1月春節，客戶用量減少所致,-15.88,4751198,71.6,2328821,3996314,71.6,2328821,3996314,110/01,TSE,110,1
1806,冠軍,因大陸營運模式改變主要的銷售主體已非合併個體，使得合併子公司的業績下降所致。,-6.19,263730,19.58,206872,247388,19.58,206872,247388,110/01,TSE,110,1
1809,中釉,-,6.66,205968,18.0,186180,219701,18.0,186180,219701,110/01,TSE,110,1
1810,和成,-,-6.8,446003,25.61,330885,415635,25.61,330885,415635,110/01,TSE,110,1
1817,凱撒衛,本月增減百分比達50%以上係因兩年度農曆春節月份差異所致。,-3.64,232162,61.51,138504,223703,61.51,138504,223703,110/01,TSE,110,1
1903,士紙,-,25.4,13938,46.57,11925,17479,46.57,11925,17479,110/01,TSE,110,1
1904,正隆,-,-19.61,4292951,24.6,2769466,3450873,24.6,2769466,3450873,110/01,TSE,110,1
1905,華紙,-,-2.16,1815317,30.65,1359253,1775959,30.65,1359253,1775959,110/01,TSE,110,1
1906,寶隆,代理銷售工業用紙之噸數減少,-63.11,71116,-70.58,89196,26234,-70.58,89196,26234,110/01,TSE,110,1
1907,永豐餘,因各事業部需求穩健，銷售量增加，加上109年農曆春節為1月，今年1月營業天數較長，因此110年1月營業收入較去年同期成長。,3.33,7475081,55.06,4981539,7724639,55.06,4981539,7724639,110/01,TSE,110,1
1909,榮成,主係109年1月適逢農曆春節，工作天數較少，使110年1月營業收入較去年同期大幅成長。,5.1,4420225,52.33,3049782,4645758,52.33,3049782,4645758,110/01,TSE,110,1
6790,永豐實,-,6.85,931782,27.71,779613,995646,27.71,779613,995646,110/01,TSE,110,1
2002,中鋼,-,0.68,30607760,27.86,24103044,30818388,27.86,24103044,30818388,110/01,TSE,110,1
2006,東和鋼鐵,本公司本月營收主係受工作日較長影響，故銷售數量較去年同期增加及子公司營收持續穩定成長所致。,-4.29,4913283,72.56,2724791,4702050,72.56,2724791,4702050,110/01,TSE,110,1
2007,燁興,-,11.59,510572,25.4,454337,569769,25.4,454337,569769,110/01,TSE,110,1
2008,高興昌,-,-9.47,110358,34.03,74539,99906,34.03,74539,99906,110/01,TSE,110,1
2009,第一銅,主係因半導體與汽車產業需求增加致出貨量增加及國際銅價上漲,5.16,234170,62.43,151605,246267,62.43,151605,246267,110/01,TSE,110,1
2010,春源,-,2.39,1867456,46.87,1301856,1912136,46.87,1301856,1912136,110/01,TSE,110,1
2012,春雨,-,-0.66,846245,33.66,628893,840622,33.66,628893,840622,110/01,TSE,110,1
2013,中鋼構,-,-1.19,1244946,27.37,965765,1230121,27.37,965765,1230121,110/01,TSE,110,1
2014,中鴻,-,1.32,3268303,-4.67,3474214,3311675,-4.67,3474214,3311675,110/01,TSE,110,1
2015,豐興,主係109年1月適逢農曆春節，工作天數較少，使110年1月營業收入較去年同期大幅成長。,-1.5,2791614,75.05,1570644,2749552,75.05,1570644,2749552,110/01,TSE,110,1
2017,官田鋼,鋼市行情上漲，價格提高,-6.88,365613,50.83,225708,340450,50.83,225708,340450,110/01,TSE,110,1
2020,美亞,-,-0.41,489511,44.46,337448,487487,44.46,337448,487487,110/01,TSE,110,1
2022,聚亨,-,79.99,608070,26.93,862248,1094501,26.93,862248,1094501,110/01,TSE,110,1
2023,燁輝,110年1月銷售量及售價皆明顯較去年同期提升所致,17.01,5320805,66.41,3741294,6226039,66.41,3741294,6226039,110/01,TSE,110,1
2024,志聯,"去年因役情關係,適逢春節致營收下降,本年因國際鋼價回升且市場需求增加所致",3.33,126359,80.11,72494,130573,80.11,72494,130573,110/01,TSE,110,1
